filename,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40
sample_0011.jpg,A,B,A,B,B,B,A,B,C,A,B,A,D,A,B,C,D,B,B,A,D,A,C,D,B,A,B,B,A,C,D,A,B,B,C,B,B,B,D,A
sample_0012.jpg,B,B,C,B,B,C,A,A,D,A,B,C,B,D,D,A,B,D,B,D,B,A,B,A,C,B,D,B,D,A,B,D,D,B,C,C,A,D,D,A
sample_0013.jpg,C,A,D,D,D,B,C,B,C,A,D,C,C,B,C,B,D,B,D,C,C,A,C,C,D,B,B,A,C,A,C,D,A,C,C,A,A,D,B,B
sample_0014.jpg,B,C,C,B,B,A,B,B,A,A,D,A,C,D,A,B,C,D,C,D,D,C,C,C,A,A,A,A,A,C,D,D,D,A,A,C,D,D,A,A
sample_0015.jpg,D,B,A,D,B,A,B,A,A,D,A,A,A,A,B,D,B,D,C,A,B,B,D,B,B,B,B,C,C,D,B,C,B,D,C,C,B,D,C,A
sample_0016.jpg,D,A,A,D,A,B,B,C,B,A,B,A,A,B,D,A,D,A,C,D,B,B,D,B,D,D,C,B,B,D,A,C,A,A,A,D,B,B,A,B
sample_0017.jpg,B,D,C,B,B,C,A,C,A,D,D,B,C,D,A,D,B,C,C,B,D,D,C,C,D,D,C,A,D,C,B,B,C,B,B,B,A,C,A,B
sample_0018.jpg,C,D,A,D,A,D,C,A,D,C,A,B,B,B,B,C,A,B,A,D,B,C,A,C,B,C,C,B,D,A,C,B,D,D,B,C,D,A,B,C
sample_0019.jpg,D,D,B,C,A,A,C,A,A,B,B,A,A,D,C,B,C,C,A,B,A,A,D,A,D,B,B,C,A,C,C,B,C,A,C,B,C,C,A,C
sample_0020.jpg,C,C,C,B,C,C,A,D,C,D,A,C,B,B,C,B,D,A,B,B,D,A,C,B,A,A,A,C,C,D,D,A,D,B,C,C,B,B,D,B
sample_0021.jpg,B,C,A,C,B,C,A,D,D,D,A,D,C,B,A,D,A,B,D,B,C,C,B,D,D,B,C,D,B,A,A,C,D,B,A,C,C,A,C,A
sample_0022.jpg,B,B,D,B,D,B,A,A,D,C,D,B,D,B,B,A,A,D,D,C,A,C,B,C,A,A,C,C,A,C,C,B,D,A,D,A,D,D,C,C
sample_0023.jpg,C,C,A,C,A,C,C,A,B,C,C,C,A,C,D,A,C,B,C,D,A,A,B,D,D,C,D,B,D,D,A,B,B,D,D,D,A,D,B,C
sample_0024.jpg,D,C,D,C,B,C,A,D,C,A,C,D,A,A,C,B,D,B,D,A,B,B,D,D,B,A,C,C,C,C,B,B,C,B,B,D,C,C,B,D
sample_0025.jpg,A,B,D,B,D,B,B,B,C,C,A,D,D,B,A,C,A,B,B,B,D,D,D,C,D,D,D,D,B,C,D,B,B,A,C,C,A,C,C,C
sample_0026.jpg,A,B,C,C,B,C,B,D,B,C,C,D,B,C,B,D,A,A,D,C,C,C,B,B,C,A,A,A,A,A,C,A,C,B,B,C,B,A,D,C
sample_0027.jpg,D,A,D,B,B,D,D,D,C,B,D,C,C,C,B,C,B,A,A,D,D,D,C,C,B,B,C,B,D,B,B,A,D,B,B,B,B,C,A,D
sample_0028.jpg,A,A,D,A,A,C,C,C,D,C,B,C,A,C,D,A,C,B,B,C,D,A,B,B,D,D,B,B,C,A,A,A,D,B,D,D,D,D,D,B
sample_0029.jpg,C,D,B,A,D,C,C,A,B,B,A,D,C,B,B,C,C,B,B,A,C,D,D,C,A,C,D,C,D,C,B,C,A,D,D,B,B,A,A,C
sample_0030.jpg,D,B,D,A,A,A,D,D,C,A,A,D,D,B,A,D,D,D,C,D,B,D,D,C,C,A,C,D,A,B,A,C,B,B,D,A,D,C,C,D
sample_0031.jpg,D,A,D,B,B,B,D,A,B,A,D,C,A,C,A,B,A,D,B,A,C,C,C,B,C,B,D,C,A,D,C,B,A,C,B,C,B,B,A,B
sample_0032.jpg,C,A,C,A,B,C,D,D,D,A,B,B,C,B,C,D,C,A,A,A,D,A,A,D,A,D,C,D,A,A,A,A,D,D,A,D,D,B,D,D
sample_0033.jpg,A,C,D,D,C,B,B,D,B,C,A,B,C,C,B,A,C,B,B,B,B,D,B,D,A,C,C,D,A,A,B,B,A,D,D,C,D,C,A,C
sample_0034.jpg,C,A,A,B,D,D,B,A,A,A,A,A,C,B,D,B,A,C,C,D,D,C,C,A,B,D,B,D,B,A,D,B,B,D,C,B,D,C,C,D
sample_0035.jpg,C,D,C,D,B,A,A,B,D,B,D,D,D,D,A,C,B,A,D,B,C,A,D,C,C,A,C,D,A,A,B,D,D,D,D,C,C,B,D,B
sample_0036.jpg,A,A,C,D,A,A,D,B,B,D,D,A,B,A,D,D,B,A,C,B,B,A,A,D,D,C,D,A,A,D,D,D,A,B,D,B,A,D,A,B
sample_0037.jpg,A,C,C,A,D,D,C,C,A,A,A,D,C,C,C,A,D,B,A,D,A,B,B,D,A,C,B,D,C,B,A,A,B,A,A,B,D,D,D,D
sample_0038.jpg,A,A,B,C,C,A,C,D,A,D,C,D,D,A,C,A,A,C,C,B,B,A,A,C,D,B,C,C,B,D,D,B,A,D,A,B,A,D,B,A
sample_0039.jpg,B,B,D,A,D,C,D,A,D,B,B,B,C,D,D,B,C,C,D,C,C,D,B,D,C,B,C,C,B,D,B,D,B,C,A,A,C,D,D,C
sample_0040.jpg,C,D,D,C,B,B,C,B,C,B,D,B,A,D,C,C,B,D,C,B,B,B,D,B,A,D,D,C,D,A,B,B,D,C,D,D,A,D,B,C
sample_0041.jpg,B,A,D,D,C,B,D,A,A,C,A,D,D,A,D,B,A,D,C,C,B,C,C,C,C,C,C,C,D,D,D,A,D,D,B,D,D,A,A,A
sample_0042.jpg,D,B,D,D,C,A,B,C,C,A,D,A,A,C,C,A,D,A,C,A,A,B,D,D,A,A,B,A,A,A,C,A,C,A,A,A,B,A,B,B
sample_0043.jpg,D,B,C,C,C,A,C,A,B,B,C,D,D,B,D,A,C,D,C,A,B,A,A,B,B,D,A,D,A,D,A,D,C,D,A,A,A,B,A,A
sample_0044.jpg,D,C,C,A,C,C,A,D,A,C,A,D,B,B,B,C,B,B,D,D,C,D,C,A,B,B,D,A,D,A,C,C,D,C,B,A,C,C,A,B
sample_0045.jpg,A,B,B,B,D,A,C,B,A,A,A,C,A,B,C,C,A,C,C,A,B,D,D,D,A,C,B,D,B,B,B,A,C,D,A,A,C,A,D,A
sample_0046.jpg,C,D,C,D,A,A,C,C,A,A,D,C,D,A,C,A,B,A,D,D,A,C,C,B,A,D,B,A,C,C,C,D,C,C,C,B,C,A,D,C
sample_0047.jpg,C,C,C,C,B,D,B,B,B,B,B,A,B,A,D,D,C,B,A,D,A,A,A,A,C,B,D,B,B,B,C,B,A,A,A,C,D,C,D,B
sample_0048.jpg,C,B,B,C,D,D,B,D,C,C,A,B,A,D,C,A,C,D,A,C,D,B,B,C,A,B,D,B,D,B,B,C,A,C,C,D,C,A,C,D
sample_0049.jpg,B,D,A,C,C,B,A,C,A,A,D,B,C,A,A,B,C,C,B,C,C,C,C,B,C,C,C,A,A,D,B,A,A,A,C,D,C,D,B,B
sample_0050.jpg,B,A,A,B,C,B,C,D,D,A,D,A,D,B,B,A,B,B,B,B,D,B,C,B,C,D,B,A,A,A,B,C,C,D,C,D,A,C,C,B
sample_0051.jpg,B,A,C,B,A,B,D,A,C,A,B,B,B,B,D,B,C,D,B,A,C,B,A,D,B,A,B,C,D,A,B,C,C,A,B,B,A,C,A,B
sample_0052.jpg,B,A,B,A,D,D,D,B,D,D,C,D,A,A,C,D,C,B,A,B,C,B,B,A,C,A,C,B,C,A,C,D,B,B,D,C,D,D,A,D
sample_0053.jpg,C,C,D,A,D,C,D,B,C,C,C,C,A,B,C,D,C,B,C,C,B,C,A,B,A,D,A,A,A,B,B,B,C,D,B,B,B,A,B,D
sample_0054.jpg,D,A,B,B,A,C,D,B,A,C,B,A,B,B,A,D,D,B,A,C,D,C,B,A,B,A,B,C,C,B,B,D,B,A,A,C,D,A,D,A
sample_0055.jpg,B,C,D,C,D,C,D,D,D,A,A,A,C,A,B,D,A,C,D,C,D,B,B,D,B,B,D,C,B,D,D,C,A,A,B,B,A,B,A,A
sample_0056.jpg,D,B,C,B,B,D,B,C,C,C,B,A,D,C,D,A,D,B,B,D,B,C,A,C,B,C,D,C,B,B,C,A,B,A,A,C,D,B,B,C
sample_0057.jpg,C,A,B,D,D,D,B,A,D,C,A,B,B,D,B,B,B,C,C,A,D,B,D,D,A,B,A,B,B,C,D,B,A,D,C,C,D,C,B,A
sample_0058.jpg,B,B,D,C,B,A,A,A,C,B,B,B,D,B,A,C,B,B,C,B,A,B,B,D,D,A,B,D,B,D,D,A,C,D,A,A,B,A,A,A
sample_0059.jpg,D,D,C,B,D,A,A,A,C,B,B,B,A,C,A,C,C,B,A,A,B,D,D,D,B,C,B,B,C,C,D,B,B,C,D,C,A,C,B,A
sample_0060.jpg,D,D,C,C,B,C,C,D,D,D,A,D,D,B,C,D,C,D,C,A,C,B,D,B,C,B,D,B,B,D,C,C,D,C,C,C,B,C,C,A
sample_0061.jpg,D,C,B,D,C,A,B,A,B,B,B,D,B,B,D,C,D,C,A,A,A,B,B,A,A,C,B,D,D,B,B,D,C,A,C,C,D,D,C,D
sample_0062.jpg,C,B,D,B,B,B,D,A,B,C,A,B,D,D,C,C,D,D,B,B,B,C,D,C,A,C,B,D,D,A,D,D,B,A,C,B,B,D,B,C
sample_0063.jpg,C,A,A,D,A,A,D,A,C,C,D,A,B,D,C,D,D,A,B,A,D,D,C,D,D,C,C,B,C,B,C,B,D,D,D,B,D,A,C,D
sample_0064.jpg,A,C,D,C,A,C,C,A,B,B,B,C,B,C,B,B,B,D,C,B,B,A,C,C,D,A,C,D,A,C,C,D,B,C,C,D,D,B,C,C
sample_0065.jpg,A,B,A,C,C,A,D,D,B,C,D,D,A,A,B,A,C,A,B,B,A,D,D,D,A,A,D,C,B,A,D,C,D,D,B,C,D,C,D,A
sample_0066.jpg,C,A,D,A,B,D,D,D,D,C,A,A,B,A,A,A,B,B,D,B,C,C,A,A,A,C,B,D,A,B,A,B,A,C,D,D,B,C,A,A
sample_0067.jpg,B,C,C,B,C,A,C,A,A,D,C,D,D,B,A,B,A,B,C,B,B,C,C,D,C,B,C,D,D,B,D,D,C,A,A,C,B,C,A,C
sample_0068.jpg,D,D,D,C,C,A,C,C,C,B,A,D,D,D,B,B,C,B,A,A,A,A,C,A,B,D,B,D,A,D,B,A,C,A,B,A,C,A,A,B
sample_0069.jpg,B,A,D,D,A,C,C,A,B,A,C,A,A,A,C,B,B,D,C,C,D,C,B,D,A,D,A,A,C,C,D,A,B,D,B,B,A,D,A,C
sample_0070.jpg,A,C,D,A,C,A,C,B,A,C,D,A,A,D,A,A,C,B,C,C,A,A,C,A,D,C,C,C,C,C,A,A,A,A,A,A,C,C,D,B
sample_0071.jpg,C,A,D,C,D,B,C,B,A,D,D,B,A,B,C,D,C,C,B,A,A,C,B,A,D,A,C,D,B,D,C,B,C,B,A,D,C,B,C,C
sample_0072.jpg,A,C,D,B,C,C,B,D,C,C,B,B,D,B,C,D,D,D,D,B,C,C,C,B,A,D,D,C,B,B,A,D,B,D,D,A,B,D,C,A
sample_0073.jpg,A,A,B,D,D,C,A,B,A,C,C,C,C,D,B,C,D,A,D,A,B,A,D,A,B,D,B,A,D,C,C,A,C,D,D,C,A,B,A,C
sample_0074.jpg,D,C,D,C,B,D,C,C,C,B,D,D,C,C,B,B,C,B,B,C,B,B,C,C,A,D,C,A,C,C,D,A,A,C,B,A,B,D,B,A
sample_0075.jpg,D,D,D,C,B,C,A,A,A,A,B,A,A,B,A,C,C,B,D,A,C,B,B,A,B,D,D,C,D,A,A,C,B,A,D,C,B,A,A,D
sample_0076.jpg,B,B,D,B,A,D,A,B,C,A,C,A,B,A,C,C,B,D,B,A,A,C,B,B,C,C,D,C,A,C,A,B,C,D,A,C,B,D,D,C
sample_0077.jpg,D,D,B,B,B,C,B,A,B,D,A,B,A,A,B,D,D,D,B,B,D,C,C,B,A,C,B,D,A,A,C,D,D,D,B,C,C,A,A,B
sample_0078.jpg,B,D,A,A,D,B,D,A,A,C,D,A,B,A,C,D,D,D,D,D,C,D,B,B,A,C,C,A,D,C,A,B,C,A,A,C,A,A,D,B
sample_0079.jpg,C,D,D,A,B,D,B,B,B,D,D,B,A,A,D,A,B,C,C,D,D,A,B,D,A,D,C,B,C,D,D,A,A,A,D,C,B,A,B,D
sample_0080.jpg,D,A,A,B,A,D,B,C,D,D,D,D,D,D,A,B,D,A,D,C,C,B,C,C,D,B,B,A,C,C,D,C,A,B,C,C,A,C,A,D
sample_0081.jpg,B,C,D,D,B,A,A,B,C,B,A,A,A,C,D,C,A,A,B,D,A,D,A,D,A,C,D,B,D,C,D,A,A,B,A,D,D,D,D,B
sample_0082.jpg,A,D,B,D,C,C,D,B,B,C,D,D,C,C,A,D,C,C,A,D,C,C,A,B,D,D,A,D,B,A,C,B,C,C,C,B,A,D,A,A
sample_0083.jpg,D,D,A,B,C,C,D,D,B,B,D,A,B,C,B,A,A,A,D,D,C,A,B,C,A,A,A,D,B,C,C,B,A,C,A,A,B,B,B,C
sample_0084.jpg,B,C,B,C,B,B,B,A,C,C,C,C,C,B,D,B,B,C,C,B,B,A,A,A,A,A,D,A,A,A,D,D,B,B,B,B,A,A,D,B
sample_0085.jpg,D,B,B,D,D,A,D,A,C,B,D,C,D,B,A,D,A,D,C,C,A,A,D,C,D,A,D,B,A,B,D,A,A,C,D,C,D,D,B,D
sample_0086.jpg,D,B,B,B,B,B,D,C,A,D,C,C,C,B,C,D,C,B,D,B,B,D,D,D,A,B,D,B,C,A,C,B,D,C,B,D,B,C,A,B
sample_0087.jpg,A,A,C,A,D,A,D,B,C,B,C,C,A,A,B,B,D,A,B,D,D,C,A,B,A,D,B,C,A,A,D,B,C,D,A,A,D,A,B,A
sample_0088.jpg,C,B,C,C,A,A,B,A,B,D,D,C,C,A,A,D,A,B,A,D,C,A,A,B,B,A,A,B,C,B,C,A,B,A,B,D,A,B,D,C
sample_0089.jpg,B,C,B,A,A,C,B,C,A,D,B,D,D,A,D,A,B,C,A,C,B,D,C,C,B,B,D,C,D,B,A,D,D,B,D,A,B,A,D,C
sample_0090.jpg,C,B,C,C,B,B,C,D,B,A,B,A,B,D,A,A,C,B,D,B,C,B,A,D,D,B,A,B,B,D,C,D,D,D,B,A,D,B,B,D
sample_0091.jpg,D,B,B,C,B,D,B,A,C,A,C,B,B,A,C,A,B,B,C,D,C,A,A,B,C,A,B,B,D,B,B,A,C,D,C,A,A,A,B,C
sample_0092.jpg,D,B,B,A,C,A,D,A,B,C,B,D,B,C,C,B,C,B,C,D,D,B,A,D,D,D,D,C,D,A,C,A,B,C,B,C,D,C,B,C
sample_0093.jpg,D,D,C,B,C,A,C,D,D,B,B,A,A,B,B,D,B,B,B,A,C,C,B,A,D,C,D,C,C,B,D,D,C,D,D,A,D,A,A,B
sample_0094.jpg,B,A,C,A,A,B,A,B,B,A,A,B,A,D,D,B,C,A,A,C,D,D,D,C,B,D,C,A,D,D,A,D,D,A,A,B,D,D,A,A
sample_0095.jpg,C,D,D,A,A,B,A,C,A,B,C,B,A,C,C,D,C,C,A,B,B,D,B,A,B,B,B,B,D,A,A,C,B,B,D,D,A,A,C,D
sample_0096.jpg,D,A,C,C,B,D,D,D,A,D,D,B,C,D,B,D,C,D,B,B,D,D,B,B,B,C,C,C,A,D,A,C,C,C,D,B,D,C,B,A
sample_0097.jpg,C,D,D,C,C,B,A,B,A,D,D,A,A,C,B,C,A,A,C,C,C,C,B,C,A,B,B,A,B,C,C,A,C,C,A,A,D,B,D,D
sample_0098.jpg,C,C,A,A,A,C,B,D,C,A,A,A,A,A,A,B,C,A,A,D,A,B,B,A,A,A,B,D,C,D,A,B,D,A,C,A,A,A,D,C
sample_0099.jpg,B,D,C,D,D,C,C,B,D,B,D,C,B,C,C,B,C,B,B,C,D,B,C,D,B,B,D,A,B,B,D,A,B,B,B,B,A,C,B,D
sample_0100.jpg,D,D,B,D,D,A,D,D,A,B,A,A,C,C,A,C,D,B,B,B,D,D,C,A,C,A,A,C,A,B,B,D,D,C,B,B,A,A,B,D
sample_0101.jpg,B,B,D,D,B,B,B,B,C,C,B,B,D,A,A,C,B,D,A,D,A,C,D,D,B,B,C,B,D,D,A,B,D,B,D,C,B,D,C,D
sample_0102.jpg,C,B,B,C,A,C,A,B,D,D,D,A,B,D,C,C,A,B,C,C,D,B,A,D,B,C,C,C,B,D,A,B,B,D,A,B,D,D,B,A
sample_0103.jpg,D,A,C,D,C,D,A,D,D,A,A,A,D,A,A,C,B,A,A,B,C,A,C,C,D,B,B,D,C,C,D,C,B,D,A,B,B,D,C,C
sample_0104.jpg,A,B,D,D,D,A,A,D,A,C,B,D,A,B,C,B,C,A,D,D,A,D,D,C,A,D,A,A,D,D,A,B,C,C,B,D,D,C,D,A
sample_0105.jpg,A,B,A,B,D,B,A,C,B,A,C,B,B,C,B,D,A,D,D,A,D,B,C,A,D,C,C,A,B,D,C,D,D,C,A,D,D,B,C,D
sample_0106.jpg,D,B,D,A,D,C,B,D,C,A,C,C,B,D,D,A,D,C,C,B,A,B,B,A,A,A,A,A,A,A,D,A,C,D,B,A,B,C,D,C
sample_0107.jpg,D,C,A,B,C,D,B,A,D,A,C,B,A,A,B,C,D,D,B,C,C,C,A,A,C,B,D,B,B,D,C,D,D,A,A,B,C,A,C,C
sample_0108.jpg,C,B,D,C,C,A,A,D,D,D,B,B,D,A,C,C,D,D,C,C,A,A,B,B,C,C,C,A,B,A,B,D,B,A,B,A,D,A,D,B
sample_0109.jpg,C,C,D,C,C,C,C,A,A,A,B,A,C,B,C,D,D,B,D,B,B,C,A,A,A,A,B,D,C,A,D,C,B,B,B,D,B,D,D,A
sample_0110.jpg,C,C,D,B,B,A,A,D,C,A,B,C,B,B,D,A,C,B,B,C,C,A,A,A,C,A,B,B,A,C,A,C,C,D,D,A,C,C,C,D
sample_0111.jpg,D,B,C,D,B,C,D,D,D,B,D,C,B,B,C,A,D,B,C,A,C,A,C,A,D,D,C,C,A,B,A,B,B,B,A,C,D,D,B,A
sample_0112.jpg,A,A,A,C,A,A,C,A,C,B,C,B,C,B,A,C,C,D,A,B,A,A,A,A,D,A,B,A,C,D,B,B,A,C,C,B,D,D,A,A
sample_0113.jpg,A,C,C,B,D,C,D,A,C,B,B,A,D,A,B,B,A,D,A,A,B,C,B,B,D,D,D,A,B,C,C,D,A,B,B,D,D,D,A,C
sample_0114.jpg,A,D,A,B,D,B,C,B,A,B,A,A,D,C,A,C,D,D,D,B,A,C,D,C,D,A,D,B,B,B,D,C,C,C,C,C,B,D,A,D
sample_0115.jpg,D,A,B,D,C,B,B,B,C,D,A,C,D,B,B,B,A,A,B,D,D,D,B,B,B,C,D,A,D,B,C,C,D,C,B,C,C,A,C,A
sample_0116.jpg,C,A,C,A,B,C,D,C,B,B,D,D,A,B,C,D,D,B,C,C,C,D,D,C,B,B,D,C,A,A,B,B,C,B,D,D,D,C,D,A
sample_0117.jpg,B,C,B,B,D,C,D,C,D,C,B,B,C,C,A,C,D,B,B,B,B,C,D,D,C,A,D,D,D,D,C,A,C,B,C,A,B,C,D,B
sample_0118.jpg,C,C,D,D,A,D,A,B,B,D,B,C,B,C,A,C,D,D,A,D,D,B,C,B,A,C,A,B,A,C,B,B,C,B,D,B,A,C,B,A
sample_0119.jpg,A,C,A,B,B,A,C,D,C,B,B,B,C,B,A,A,A,D,B,C,A,A,C,A,A,A,C,C,A,C,A,C,D,D,D,C,D,A,D,D
sample_0120.jpg,C,A,C,D,A,D,D,B,A,A,C,A,D,C,C,C,B,B,B,C,A,B,C,A,A,B,C,C,A,C,A,B,C,B,C,C,C,C,A,C
sample_0121.jpg,B,D,C,D,D,C,A,B,A,D,D,B,B,C,B,C,A,B,A,C,C,C,C,A,A,B,D,A,D,C,D,C,C,D,C,A,D,C,A,D
sample_0122.jpg,A,D,D,D,A,D,B,D,B,B,D,A,B,B,D,B,D,C,D,D,C,C,D,C,C,B,A,D,D,C,D,A,A,C,C,B,C,B,C,B
sample_0123.jpg,B,C,C,C,B,C,D,C,D,D,D,D,A,C,A,C,A,A,A,B,C,A,B,C,A,C,D,B,C,B,A,A,D,C,C,B,B,A,D,D
sample_0124.jpg,C,A,B,D,B,B,D,A,C,D,A,B,B,A,D,C,B,D,A,C,A,A,B,A,C,D,D,C,C,C,A,A,A,D,D,A,C,A,A,B
sample_0125.jpg,A,D,C,B,A,A,D,C,A,D,B,A,A,B,B,A,C,B,B,C,D,A,D,D,C,C,A,C,A,D,A,A,D,A,A,C,B,A,D,C
sample_0126.jpg,C,B,D,D,A,B,B,C,D,D,A,D,A,B,D,B,D,C,D,B,D,A,C,C,B,C,D,A,B,D,D,C,C,B,A,A,A,C,B,A
sample_0127.jpg,A,A,B,B,D,C,C,A,A,D,A,B,C,D,A,B,C,D,A,B,C,D,A,A,A,A,D,B,C,C,B,B,A,D,C,D,B,B,C,D
sample_0128.jpg,A,D,B,D,C,D,C,B,A,C,C,B,D,A,B,D,D,A,A,B,C,A,A,C,C,D,B,D,B,D,D,A,A,A,D,A,B,C,B,C
sample_0129.jpg,D,D,C,D,C,C,C,A,C,C,D,D,C,D,A,A,D,B,C,A,B,D,D,B,B,A,C,B,D,A,C,A,D,A,C,A,C,D,A,B
sample_0130.jpg,D,C,C,D,B,D,C,D,D,A,C,D,C,B,B,D,C,A,D,B,D,A,B,B,B,C,A,B,A,B,A,A,D,C,D,A,C,A,C,C
sample_0131.jpg,B,A,C,B,A,D,D,B,B,A,B,D,D,A,A,B,D,D,D,C,C,A,D,B,D,B,A,D,B,C,D,D,D,B,A,B,A,A,D,D
sample_0132.jpg,B,A,B,D,D,A,B,C,B,C,C,B,C,C,B,B,A,C,B,A,B,D,D,C,A,C,D,A,B,D,B,C,C,C,C,C,C,A,D,D
sample_0133.jpg,C,C,A,C,C,A,B,C,D,D,A,B,B,C,D,A,A,D,C,C,D,D,D,C,C,D,D,A,B,D,D,C,A,A,D,C,D,D,C,B
sample_0134.jpg,D,A,B,B,B,A,C,B,D,A,B,A,B,D,D,A,B,A,C,B,C,C,A,C,D,B,D,C,D,A,D,C,C,C,B,C,C,D,D,D
sample_0135.jpg,D,D,D,D,A,A,B,C,D,C,B,A,D,D,C,D,B,B,B,D,A,A,B,B,B,D,D,A,C,A,B,C,D,D,D,B,D,A,C,C
sample_0136.jpg,D,B,D,D,D,C,D,D,B,C,A,B,B,B,D,C,D,A,B,A,D,B,C,C,A,C,C,D,B,A,D,D,A,D,B,A,A,D,C,D
sample_0137.jpg,A,B,A,A,C,A,B,D,B,C,C,D,D,B,A,A,C,A,B,C,A,B,B,B,B,C,C,D,C,D,D,C,C,D,C,D,C,A,D,B
sample_0138.jpg,B,D,A,C,B,D,B,B,C,C,C,B,B,D,D,B,D,A,C,B,C,C,C,D,A,B,A,B,A,D,B,B,A,A,D,C,A,D,D,A
sample_0139.jpg,D,B,C,A,A,D,B,C,C,A,C,D,C,D,C,A,A,B,D,B,A,D,C,B,C,B,D,D,C,B,B,A,D,C,B,D,C,A,C,A
sample_0140.jpg,B,A,C,B,D,C,A,C,C,A,A,B,D,C,B,A,A,C,C,B,D,A,A,A,A,B,B,B,A,D,A,C,A,D,A,C,C,D,A,A
sample_0141.jpg,C,D,D,C,B,D,B,A,B,B,B,D,B,D,A,B,A,B,D,C,D,B,D,B,C,D,D,B,B,A,D,C,C,D,C,D,A,C,D,B
sample_0142.jpg,C,A,C,A,A,C,C,B,D,B,D,D,A,A,D,B,A,C,D,B,B,B,D,C,C,C,A,D,B,A,D,A,D,C,D,B,B,B,D,B
sample_0143.jpg,C,B,D,D,C,A,C,A,C,A,A,B,B,C,B,A,B,C,C,D,B,A,A,D,A,B,B,D,B,A,A,D,D,D,B,C,A,C,B,A
sample_0144.jpg,C,B,A,D,C,C,A,C,A,A,B,C,A,B,A,B,C,B,A,A,C,A,A,A,D,D,B,D,C,B,D,A,A,C,C,B,C,C,C,B
sample_0145.jpg,B,B,A,B,C,A,B,B,C,B,C,C,D,D,B,A,D,A,D,B,C,C,D,B,C,D,B,C,C,C,D,D,D,D,C,D,A,C,D,A
sample_0146.jpg,B,A,D,D,A,C,A,B,D,A,C,C,B,D,A,B,D,D,A,D,B,B,D,D,B,B,B,C,B,A,D,C,A,B,B,D,B,A,C,A
sample_0147.jpg,D,C,B,C,A,A,D,C,A,A,B,C,D,C,A,A,B,D,B,B,A,D,A,B,C,C,B,B,D,C,D,A,A,D,D,C,C,C,D,C
sample_0148.jpg,B,D,D,B,B,B,B,B,D,C,D,A,C,D,B,D,A,C,C,D,D,D,C,D,A,D,C,C,D,B,B,C,A,B,C,B,B,B,C,D
sample_0149.jpg,A,A,D,D,C,B,C,D,D,A,B,B,D,A,B,B,D,B,D,D,A,D,C,D,C,B,A,B,C,B,B,B,D,C,D,D,A,D,C,B
sample_0150.jpg,D,B,A,C,B,C,C,B,A,B,A,C,D,B,D,A,A,C,B,B,D,D,C,B,C,D,B,A,A,D,C,A,A,A,D,B,C,C,C,B
